name,entry_id,icsd_id,composition_generic,unit_cell,sites,metals,oxstate_label
YbSe,6321,33675,AB,"[[2.949803, -2.949803, 0.0], [-2.949803, 0.0, -2.949803], [2.949803, 2.949803, 0.0]]","['Se @ 0.5 0 0.5', 'Yb @ 0 0 0']",['Yb'],"{'Yb': 2, 'Se': -2}"
YbTe,6320,33674,AB,"[[3.174259, -3.174259, 0.0], [-3.174259, 0.0, -3.174259], [3.174259, 3.174259, 0.0]]","['Te @ 0.5 0 0.5', 'Yb @ 0 0 0']",['Yb'],"{'Yb': 2, 'Te': -2}"
UTe,17352,104195,AB,"[[3.744669, 0.0, 0.0], [0.0, 3.744669, 0.0], [0.0, 0.0, 3.744669]]","['Te @ 0.5 0.5 0.5', 'U @ 0 0 0']",['U'],"{'U': 2, 'Te': -2}"
TaN,13761,76455,AB,"[[2.942986, 0.0, 0.0], [-1.471493, 2.548712, 0.0], [0.0, 0.0, 2.893291]]","['N @ 0 0 0', 'Ta @ 0.333 0.667 0.5']",['Ta'],"{'Ta': 3, 'N': -3}"
CaSe,7648,41957,AB,"[[2.968953, -2.968953, 0.0], [-2.968953, 0.0, -2.968953], [2.968953, 2.968953, 0.0]]","['Ca @ 0 0 0', 'Se @ 0.5 0 0.5']",['Ca'],"{'Ca': 2, 'Se': -2}"
CaTe,7649,41958,AB,"[[3.195051, -3.195051, 0.0], [-3.195051, 0.0, -3.195051], [3.195051, 3.195051, 0.0]]","['Ca @ 0 0 0', 'Te @ 0.5 0 0.5']",['Ca'],"{'Ca': 2, 'Te': -2}"
HPd,30508,638417,AB,"[[2.051559, -2.051559, 0.0], [-2.051559, 0.0, -2.051559], [2.051559, 2.051559, 0.0]]","['H @ 0 0 0', 'Pd @ 0.5 0 0.5']",['Pd'],"{'Pd': -1, 'H': 1}"
HoAs,8118,43543,AB,"[[2.894571, -2.894571, 0.0], [-2.894571, 0.0, -2.894571], [2.894571, 2.894571, 0.0]]","['As @ 0.5 0 0.5', 'Ho @ 0 0 0']",['Ho'],"{'Ho': 3, 'As': -3}"
HoSe,8122,43547,AB,"[[2.85881, -2.85881, 0.0], [-2.85881, 0.0, -2.85881], [2.85881, 2.85881, 0.0]]","['Ho @ 0 0 0', 'Se @ 0.5 0 0.5']",['Ho'],"{'Ho': 2, 'Se': -2}"
AgI,20443,161582,AB,"[[3.834197, 0.0, 0.0], [0.0, 3.834197, 0.0], [0.0, 0.0, 3.834197]]","['Ag @ 0 0 0', 'I @ 0.5 0.5 0.5']",['Ag'],"{'Ag': 1, 'I': -1}"
