name,entry_id,icsd_id,composition_generic,unit_cell,sites,metals,oxstate_label
YbSe,6321,33675,AB,"[[2.949803, -2.949803, 0.0], [-2.949803, 0.0, -2.949803], [2.949803, 2.949803, 0.0]]","['Se @ 0.5 0 0.5', 'Yb @ 0 0 0']",['Yb'],{'Yb': 2.0}
ZnNi,17859,105469,AB,"[[2.735285, 0.0, 0.0], [0.0, 2.735285, 0.0], [0.0, 0.0, 3.202656]]","['Ni @ 0 0 0', 'Zn @ 0.5 0.5 0.5']","['Zn', 'Ni']","{'Zn': 2, 'Ni': 2}"
TiAg,10676,58369,AB,"[[2.858117, 0.0, 0.0], [0.0, 2.858117, 0.0], [0.0, 0.0, 4.158994]]","['Ag @ 0 0 0', 'Ti @ 0.5 0.5 0.5']","['Ti', 'Ag']","{'Ti': 3, 'Ag': 1}"
ZnNi,17860,105470,AB,"[[2.885519, 0.0, 0.0], [0.0, 2.885519, 0.0], [0.0, 0.0, 2.885519]]","['Ni @ 0 0 0', 'Zn @ 0.5 0.5 0.5']","['Zn', 'Ni']","{'Zn': 2, 'Ni': 2}"
YbTe,6320,33674,AB,"[[3.174259, -3.174259, 0.0], [-3.174259, 0.0, -3.174259], [3.174259, 3.174259, 0.0]]","['Te @ 0.5 0 0.5', 'Yb @ 0 0 0']",['Yb'],{'Yb': 2.0}
TcB,21452,168900,AB,"[[2.728608, 0.0, 0.0], [0.0, 2.728608, 0.0], [0.0, 0.0, 2.728608]]","['B @ 0.5 0.5 0.5', 'Tc @ 0 0 0']",['Tc'],{'Tc': -3.0}
MnAu,19149,109348,AB,"[[3.213021, 0.0, 0.0], [0.0, 3.213021, 0.0], [0.0, 0.0, 3.213021]]","['Au @ 0 0 0', 'Mn @ 0.5 0.5 0.5']","['Mn', 'Au']","{'Mn': 2, 'Au': 1}"
TaN,13761,76455,AB,"[[2.942986, 0.0, 0.0], [-1.471493, 2.548712, 0.0], [0.0, 0.0, 2.893291]]","['N @ 0 0 0', 'Ta @ 0.333 0.667 0.5']",['Ta'],{'Ta': 3.0}
CaSe,7648,41957,AB,"[[2.968953, -2.968953, 0.0], [-2.968953, 0.0, -2.968953], [2.968953, 2.968953, 0.0]]","['Ca @ 0 0 0', 'Se @ 0.5 0 0.5']",['Ca'],{'Ca': 2.0}
CaTe,7649,41958,AB,"[[3.195051, -3.195051, 0.0], [-3.195051, 0.0, -3.195051], [3.195051, 3.195051, 0.0]]","['Ca @ 0 0 0', 'Te @ 0.5 0 0.5']",['Ca'],{'Ca': 2.0}
CaPb,28966,619484,AB,"[[-2.545171, -2.545171, 0.0], [-2.545171, 2.545171, 0.0], [0.0, 0.0, -4.555874]]","['Ca @ 0 0 0', 'Pb @ 0.5 0.5 0.5']","['Ca', 'Pb']","{'Ca': 2, 'Pb': 2}"
CuAu,31283,658109,AB,"[[-2.008354, -2.008354, 0.0], [-2.008354, 2.008354, 0.0], [0.0, 0.0, -3.707075]]","['Au @ 0 0 0', 'Cu @ 0.5 0.5 0.5']","['Cu', 'Au']","{'Cu': 1.0, 'Au': -1.0}"
SiRh,8386,44385,AB,"[[2.980893, 0.0, 0.0], [0.0, 2.980893, 0.0], [0.0, 0.0, 2.980893]]","['Rh @ 0 0 0', 'Si @ 0.5 0.5 0.5']",['Rh'],{'Rh': 4.0}
MnAu,19150,109349,AB,"[[3.246105, 0.0, 0.0], [0.0, 3.246105, 0.0], [0.0, 0.0, 3.149087]]","['Au @ 0 0 0', 'Mn @ 0.5 0.5 0.5']","['Mn', 'Au']","{'Mn': 2, 'Au': 1}"
VFe,30264,634034,AB,"[[2.867122, 0.0, 0.0], [0.0, 2.867122, 0.0], [0.0, 0.0, 2.867122]]","['Fe @ 0 0 0', 'V @ 0.5 0.5 0.5']","['V', 'Fe']","{'V': 3, 'Fe': 2}"
TcB,21449,168895,AB,"[[2.881781, 0.0, 0.0], [-1.44089, 2.495747, 0.0], [0.0, 0.0, 2.933687]]","['B @ 0.667 0.333 0.5', 'Tc @ 0 0 0']",['Tc'],{'Tc': -3.0}
HoAs,8118,43543,AB,"[[2.894571, -2.894571, 0.0], [-2.894571, 0.0, -2.894571], [2.894571, 2.894571, 0.0]]","['As @ 0.5 0 0.5', 'Ho @ 0 0 0']",['Ho'],{'Ho': 3.0}
TcB,21453,168901,AB,"[[2.363006, -2.363006, 0.0], [-2.363006, 0.0, -2.363006], [2.363006, 2.363006, 0.0]]","['B @ 0.75 0.5 0.25', 'Tc @ 0 0 0']",['Tc'],{'Tc': -3.0}
AgI,20443,161582,AB,"[[3.834197, 0.0, 0.0], [0.0, 3.834197, 0.0], [0.0, 0.0, 3.834197]]","['Ag @ 0 0 0', 'I @ 0.5 0.5 0.5']",['Ag'],{'Ag': 1.0}
TiFe,19423,150938,AB,"[[2.943475, 0.0, 0.0], [0.0, 2.943475, 0.0], [0.0, 0.0, 2.943475]]","['Fe @ 0.5 0.5 0.5', 'Ti @ 0 0 0']","['Ti', 'Fe']","{'Ti': 3, 'Fe': 2}"
ScN,22242,180830,AB,"[[2.775911, 0.0, 0.0], [0.0, 2.775911, 0.0], [0.0, 0.0, 2.775911]]","['N @ 0.5 0.5 0.5', 'Sc @ 0 0 0']",['Sc'],{'Sc': 3.0}
NaH,6318,33670,AB,"[[2.350465, -2.350465, 0.0], [-2.350465, 0.0, -2.350465], [2.350465, 2.350465, 0.0]]","['H @ 0.5 0 0.5', 'Na @ 0 0 0']",['Na'],{'Na': 1.0}
VOs,19422,150935,AB,"[[3.00931, 0.0, 0.0], [0.0, 3.00931, 0.0], [0.0, 0.0, 3.00931]]","['Os @ 0.5 0.5 0.5', 'V @ 0 0 0']","['V', 'Os']","{'V': 2.0, 'Os': -2.0}"
ScP,22243,180832,AB,"[[3.274966, 0.0, 0.0], [0.0, 3.274966, 0.0], [0.0, 0.0, 3.274966]]","['P @ 0.5 0.5 0.5', 'Sc @ 0 0 0']",['Sc'],{'Sc': 3.0}
TaTc,18145,106117,AB,"[[3.184409, 0.0, 0.0], [0.0, 3.184409, 0.0], [0.0, 0.0, 3.184409]]","['Ta @ 0 0 0', 'Tc @ 0.5 0.5 0.5']","['Ta', 'Tc']","{'Ta': 3.0, 'Tc': -3.0}"
TiAl,27974,609534,AB,"[[1.993062, -1.993062, 0.0], [-1.993062, -1.993062, 0.0], [0.0, 0.0, -4.058998]]","['Al @ 0.5 0.5 0.5', 'Ti @ 0 0 0']","['Ti', 'Al']","{'Ti': 3, 'Al': 3}"
CsAu,10711,58427,AB,"[[4.262, 0.0, 0.0], [0.0, 4.262, 0.0], [0.0, 0.0, 4.262]]","['Au @ 0 0 0', 'Cs @ 0.5 0.5 0.5']","['Cs', 'Au']","{'Cs': 1.0, 'Au': -1.0}"
RbAu,10712,58428,AB,"[[4.104943, 0.0, 0.0], [0.0, 4.104943, 0.0], [0.0, 0.0, 4.104943]]","['Au @ 0 0 0', 'Rb @ 0.5 0.5 0.5']","['Rb', 'Au']","{'Rb': 1.0, 'Au': -1.0}"
TiTc,18156,106142,AB,"[[3.098008, 0.0, 0.0], [0.0, 3.098008, 0.0], [0.0, 0.0, 3.098008]]","['Tc @ 0 0 0', 'Ti @ 0.5 0.5 0.5']","['Ti', 'Tc']","{'Ti': 3.0, 'Tc': -3.0}"
VTc,18157,106143,AB,"[[3.01461, 0.0, 0.0], [0.0, 3.01461, 0.0], [0.0, 0.0, 3.01461]]","['Tc @ 0 0 0', 'V @ 0.5 0.5 0.5']","['V', 'Tc']","{'V': 3.0, 'Tc': -3.0}"
TbSb,8156,43602,AB,"[[3.109447, -3.109447, 0.0], [-3.109447, 0.0, -3.109447], [3.109447, 3.109447, 0.0]]","['Sb @ 0.5 0 0.5', 'Tb @ 0 0 0']",['Tb'],{'Tb': 3.0}
TiOs,17904,105572,AB,"[[3.085145, 0.0, 0.0], [0.0, 3.085145, 0.0], [0.0, 0.0, 3.085145]]","['Os @ 0 0 0', 'Ti @ 0.5 0.5 0.5']","['Ti', 'Os']","{'Ti': 2.0, 'Os': -2.0}"
ZrOs,17906,105580,AB,"[[3.282701, 0.0, 0.0], [0.0, 3.282701, 0.0], [0.0, 0.0, 3.282701]]","['Os @ 0 0 0', 'Zr @ 0.5 0.5 0.5']","['Zr', 'Os']","{'Zr': 2.0, 'Os': -2.0}"
HoSb,8119,43544,AB,"[[3.083857, -3.083857, 0.0], [-3.083857, 0.0, -3.083857], [3.083857, 3.083857, 0.0]]","['Ho @ 0 0 0', 'Sb @ 0.5 0 0.5']",['Ho'],{'Ho': 3.0}
ZnO,20684,163382,AB,"[[2.66039, 0.0, 0.0], [0.0, 2.66039, 0.0], [0.0, 0.0, 2.66039]]","['O @ 0.5 0.5 0.5', 'Zn @ 0 0 0']",['Zn'],{'Zn': 2.0}
ScC,22262,181048,AB,"[[2.876, 0.0, 0.0], [0.0, 2.876, 0.0], [0.0, 0.0, 2.876]]","['C @ 0.5 0.5 0.5', 'Sc @ 0 0 0']",['Sc'],{'Sc': 3.0}
YC,22264,181050,AB,"[[3.102078, 0.0, 0.0], [0.0, 3.102078, 0.0], [0.0, 0.0, 3.102078]]","['C @ 0.5 0.5 0.5', 'Y @ 0 0 0']",['Y'],{'Y': 3.0}
SnP,14014,77786,AB,"[[2.793072, -2.793072, 0.0], [-2.793072, 0.0, -2.793072], [2.793072, 2.793072, 0.0]]","['P @ 0 0 0', 'Sn @ 0.5 0 0.5']",['Sn'],{'Sn': 3.0}
HgSe,4543,24175,AB,"[[3.109701, -3.109701, 0.0], [-3.109701, 0.0, -3.109701], [3.109701, 3.109701, 0.0]]","['Hg @ 0 0 0', 'Se @ 0.75 0.5 0.25']",['Hg'],{'Hg': 2.0}
CuO,11469,61323,AB,"[[2.091032, -2.091032, 0.0], [-2.091032, 0.0, -2.091032], [2.091032, 2.091032, 0.0]]","['Cu @ 0 0 0', 'O @ 0.5 0 0.5']",['Cu'],{'Cu': 2.0}
